file,np_requested,np_effective,loop,ffi,status,real_seconds,elapsed_max,family_sum,log
10square.plcr,32,1,1,1,OK,1.04,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/10square-np1-ffi-loop1.out
121triple_f.plcr,32,1,1,1,OK,114.11,113,288,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/121triple_f-np1-ffi-loop1.out
200checksum.plcr,32,1,1,1,OK,0.27,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/200checksum-np1-ffi-loop1.out
20checksum.plcr,32,1,1,1,OK,0.28,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/20checksum-np1-ffi-loop1.out
20square.plcr,32,1,1,1,OK,0.28,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/20square-np1-ffi-loop1.out
2I.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/2I-np32-loop1.out
2dd3.plcr,32,32,1,0,TIMEOUT,120.57,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/2dd3-np32-loop1.out
2dd4.plcr,32,32,1,0,TIMEOUT,120.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/2dd4-np32-loop1.out
4checksum.plcr,32,1,1,1,OK,0.26,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4checksum-np1-ffi-loop1.out
4product.plcr,32,1,1,1,OK,0.25,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4product-np1-ffi-loop1.out
4square.plcr,32,1,1,1,OK,0.25,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4square-np1-ffi-loop1.out
5square.plcr,32,1,1,1,OK,0.25,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/5square-np1-ffi-loop1.out
BruteTest.plcr,32,1,1,1,FAIL:1,20.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/BruteTest-np1-ffi-loop1.out
brute_force.plcr,32,1,1,1,OK,0.33,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/brute_force-np1-ffi-loop1.out
d2.plcr,32,32,1,0,TIMEOUT,120.54,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d2-np32-loop1.out
d3triple_f.plcr,32,1,1,1,OK,1.97,2,109,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d3triple_f-np1-ffi-loop1.out
d4.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4-np32-loop1.out
d4addone.plcr,32,1,1,1,OK,23.78,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4addone-np1-ffi-loop1.out
d4checksum.plcr,32,1,1,1,OK,23.7,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4checksum-np1-ffi-loop1.out
d4double_f.plcr,32,1,1,1,TIMEOUT,120.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4double_f-np1-ffi-loop1.out
d4triple_f.plcr,32,1,1,1,TIMEOUT,120.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4triple_f-np1-ffi-loop1.out
dcm2005.plcr,32,1,1,1,FAIL:1,29.39,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dcm2005-np1-ffi-loop1.out
dd2.plcr,32,32,1,0,TIMEOUT,120.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd2-np32-loop1.out
dd3.plcr,32,32,1,0,OK,2.3,0,34,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd3-np32-loop1.out
dd4.plcr,32,32,1,0,OK,4.09,2,72,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd4-np32-loop1.out
dd5.plcr,32,32,1,0,TIMEOUT,120.57,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd5-np32-loop1.out
difficult.plcr,32,32,1,0,TIMEOUT,120.54,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/difficult-np32-loop1.out
doublelist.plcr,32,1,1,1,OK,0.27,0,21,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/doublelist-np1-ffi-loop1.out
extsucc.plcr,32,1,1,1,OK,1.94,1,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/extsucc-np1-ffi-loop1.out
fact.plcr,32,32,1,0,TIMEOUT_KILLED:1,130.01,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/fact-np32-loop1.out
fibonacci.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/fibonacci-np32-loop1.out
fivesquare.plcr,32,1,1,1,OK,0.27,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/fivesquare-np1-ffi-loop1.out
foursquare.plcr,32,1,1,1,OK,0.26,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/foursquare-np1-ffi-loop1.out
jfig2.plcr,32,1,1,1,OK,0.26,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/jfig2-np1-ffi-loop1.out
k2i.plcr,32,32,1,0,TIMEOUT,120.57,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/k2i-np32-loop1.out
kdd.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/kdd-np32-loop1.out
ki.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/ki-np32-loop1.out
longid.plcr,32,1,1,1,OK,0.38,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/longid-np1-ffi-loop1.out
matrix.plcr,32,1,1,1,OK,0.65,0,40,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrix-np1-ffi-loop1.out
matrix2.plcr,32,1,1,1,OK,0.26,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrix2-np1-ffi-loop1.out
matrixnew.plcr,32,1,1,1,TIMEOUT_KILLED:1,130.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrixnew-np1-ffi-loop1.out
pure.plcr,32,1,1,1,OK,1.93,2,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/pure-np1-ffi-loop1.out
s0.plcr,32,1,1,1,OK,0.26,0,1,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/s0-np1-ffi-loop1.out
s1.plcr,32,1,1,1,OK,0.26,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/s1-np1-ffi-loop1.out
scan.plcr,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/scan-np32-loop1.out
sharedfunccalls.plcr,32,1,1,1,OK,0.26,0,8,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/sharedfunccalls-np1-ffi-loop1.out
tensquare.plcr,32,1,1,1,OK,0.26,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/tensquare-np1-ffi-loop1.out
succ.plcr,1,1,1,0,OK,0.23,0,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/succ-np1-loop1.out
Crypto/brute.plcr,1,1,1,1,TIMEOUT,120.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/Crypto-brute-np1-loop1.out
Crypto/pkzipBrute.plcr,1,1,1,1,OK,0.23,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/Crypto-pkzipBrute-np1-loop1.out
