file,machine,np_requested,np_effective,loop,ffi,status,real_seconds,elapsed_max,family_sum,log
4product.plcr,macstudio,32,1,1,1,OK,0.25,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4product-np1-ffi-loop1.out
4square.plcr,macstudio,32,1,1,1,OK,0.25,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4square-np1-ffi-loop1.out
5square.plcr,macstudio,32,1,1,1,OK,0.25,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/5square-np1-ffi-loop1.out
4checksum.plcr,macstudio,32,1,1,1,OK,0.26,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/4checksum-np1-ffi-loop1.out
foursquare.plcr,macstudio,32,1,1,1,OK,0.26,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/foursquare-np1-ffi-loop1.out
jfig2.plcr,macstudio,32,1,1,1,OK,0.26,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/jfig2-np1-ffi-loop1.out
matrix2.plcr,macstudio,32,1,1,1,OK,0.26,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrix2-np1-ffi-loop1.out
s0.plcr,macstudio,32,1,1,1,OK,0.26,0,1,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/s0-np1-ffi-loop1.out
s1.plcr,macstudio,32,1,1,1,OK,0.26,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/s1-np1-ffi-loop1.out
sharedfunccalls.plcr,macstudio,32,1,1,1,OK,0.26,0,8,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/sharedfunccalls-np1-ffi-loop1.out
tensquare.plcr,macstudio,32,1,1,1,OK,0.26,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/tensquare-np1-ffi-loop1.out
200checksum.plcr,macstudio,32,1,1,1,OK,0.27,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/200checksum-np1-ffi-loop1.out
doublelist.plcr,macstudio,32,1,1,1,OK,0.27,0,21,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/doublelist-np1-ffi-loop1.out
fivesquare.plcr,macstudio,32,1,1,1,OK,0.27,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/fivesquare-np1-ffi-loop1.out
20checksum.plcr,macstudio,32,1,1,1,OK,0.28,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/20checksum-np1-ffi-loop1.out
20square.plcr,macstudio,32,1,1,1,OK,0.28,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/20square-np1-ffi-loop1.out
brute_force.plcr,macstudio,32,1,1,1,OK,0.33,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/brute_force-np1-ffi-loop1.out
longid.plcr,macstudio,32,1,1,1,OK,0.38,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/longid-np1-ffi-loop1.out
matrix.plcr,macstudio,32,1,1,1,OK,0.65,0,40,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrix-np1-ffi-loop1.out
10square.plcr,macstudio,32,1,1,1,OK,1.04,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/10square-np1-ffi-loop1.out
