file,machine,np_requested,np_effective,loop,ffi,status,real_seconds,elapsed_max,family_sum,log
10square.plcr,macstudio,32,1,1,1,OK,0.3,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/10square-np1-ffi-loop1.out
121triple_f.plcr,macstudio,32,1,1,1,TIMEOUT,100.52,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/121triple_f-np1-ffi-loop1.out
200checksum.plcr,macstudio,32,1,1,1,OK,0.31,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/200checksum-np1-ffi-loop1.out
20checksum.plcr,macstudio,32,1,1,1,OK,0.32,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/20checksum-np1-ffi-loop1.out
20square.plcr,macstudio,32,1,1,1,OK,0.33,0,22,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/20square-np1-ffi-loop1.out
2I.plcr,macstudio,32,32,1,0,OK,2.26,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/2I-np32-loop1.out
2dd3.plcr,macstudio,32,32,1,0,TIMEOUT,100.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/2dd3-np32-loop1.out
2dd4.plcr,macstudio,32,32,1,0,TIMEOUT,100.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/2dd4-np32-loop1.out
4checksum.plcr,macstudio,32,1,1,1,OK,0.29,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/4checksum-np1-ffi-loop1.out
4product.plcr,macstudio,32,1,1,1,OK,0.3,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/4product-np1-ffi-loop1.out
4square.plcr,macstudio,32,1,1,1,OK,0.28,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/4square-np1-ffi-loop1.out
5square.plcr,macstudio,32,1,1,1,OK,0.28,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/5square-np1-ffi-loop1.out
BruteTest.plcr,macstudio,32,1,1,1,FAIL:1,19.94,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/BruteTest-np1-ffi-loop1.out
brute_force.plcr,macstudio,32,1,1,1,OK,0.37,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/brute_force-np1-ffi-loop1.out
d2.plcr,macstudio,32,32,1,0,OK,2,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d2-np32-loop1.out
d3triple_f.plcr,macstudio,32,1,1,1,OK,1.96,1,109,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d3triple_f-np1-ffi-loop1.out
d4.plcr,macstudio,32,32,1,0,OK,2.16,0,18,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d4-np32-loop1.out
d4addone.plcr,macstudio,32,1,1,1,OK,23.15,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d4addone-np1-ffi-loop1.out
d4checksum.plcr,macstudio,32,1,1,1,OK,23.12,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d4checksum-np1-ffi-loop1.out
d4double_f.plcr,macstudio,32,1,1,1,TIMEOUT,100.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d4double_f-np1-ffi-loop1.out
d4triple_f.plcr,macstudio,32,1,1,1,TIMEOUT,100.51,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/d4triple_f-np1-ffi-loop1.out
dcm2005.plcr,macstudio,32,1,1,1,FAIL:1,27.85,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dcm2005-np1-ffi-loop1.out
dd2.plcr,macstudio,32,32,1,0,OK,2.18,0,14,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dd2-np32-loop1.out
dd3.plcr,macstudio,32,32,1,0,OK,2.27,0,34,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dd3-np32-loop1.out
dd4.plcr,macstudio,32,32,1,0,OK,3.99,2,72,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dd4-np32-loop1.out
dd5.plcr,macstudio,32,32,1,0,TIMEOUT,100.54,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dd5-np32-loop1.out
dd6.plcr,macstudio,32,32,1,0,TIMEOUT,100.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/dd6-np32-loop1.out
difficult.plcr,macstudio,32,32,1,0,TIMEOUT,100.53,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/difficult-np32-loop1.out
doublelist.plcr,macstudio,32,1,1,1,OK,0.31,0,21,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/doublelist-np1-ffi-loop1.out
extsucc.plcr,macstudio,32,1,1,1,OK,2.03,2,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/extsucc-np1-ffi-loop1.out
fact.plcr,macstudio,32,32,1,0,TIMEOUT_KILLED:1,110.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/fact-np32-loop1.out
fibonacci.plcr,macstudio,32,1,1,1,OK,0.35,0,2,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/fibonacci-np1-ffi-loop1.out
fivesquare.plcr,macstudio,32,1,1,1,OK,0.3,0,7,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/fivesquare-np1-ffi-loop1.out
foursquare.plcr,macstudio,32,1,1,1,OK,0.31,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/foursquare-np1-ffi-loop1.out
jfig2.plcr,macstudio,32,1,1,1,OK,0.31,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/jfig2-np1-ffi-loop1.out
k2i.plcr,macstudio,32,32,1,0,OK,2.13,0,4,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/k2i-np32-loop1.out
kdd.plcr,macstudio,32,32,1,0,TIMEOUT,100.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/kdd-np32-loop1.out
ki.plcr,macstudio,32,32,1,0,OK,2.08,0,4,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/ki-np32-loop1.out
longid.plcr,macstudio,32,1,1,1,OK,0.86,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/longid-np1-ffi-loop1.out
matrix.plcr,macstudio,32,1,1,1,OK,0.74,0,40,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/matrix-np1-ffi-loop1.out
matrix2.plcr,macstudio,32,1,1,1,OK,0.3,0,20,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/matrix2-np1-ffi-loop1.out
matrixnew.plcr,macstudio,32,1,1,1,TIMEOUT_KILLED:1,110.01,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/matrixnew-np1-ffi-loop1.out
pure.plcr,macstudio,32,1,1,1,OK,2,1,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/pure-np1-ffi-loop1.out
s0.plcr,macstudio,32,1,1,1,OK,0.29,0,1,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/s0-np1-ffi-loop1.out
s1.plcr,macstudio,32,1,1,1,OK,0.3,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/s1-np1-ffi-loop1.out
scan.plcr,macstudio,32,1,1,1,OK,0.29,0,23,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/scan-np1-ffi-loop1.out
sharedfunccalls.plcr,macstudio,32,1,1,1,OK,0.29,0,8,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/sharedfunccalls-np1-ffi-loop1.out
succ.plcr,macstudio,32,1,1,1,OK,0.36,0,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/succ-np1-ffi-loop1.out
tensquare.plcr,macstudio,32,1,1,1,OK,0.3,0,12,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-timeout100-20260702/tensquare-np1-ffi-loop1.out
