timestamp,epoch,elapsed_s,tag,combustion_count,combustion_rss_kb,combustion_vsz_kb,combustion_pcpu_sum,combustion_pmem_sum,mpi_count,mpi_rss_kb,mpi_vsz_kb,mpi_pcpu_sum,mpi_pmem_sum,mem_total_kb,mem_available_kb,mem_used_pct,load1,load5,load15
2026-07-02T11:23:28+02:00,1782984208,4928,periodic,256,2862527944,3046723908,25499.50,53.00,1,20080,470188,0.00,0.00,4215003640,1477660500,64.94,256.00,256.00,255.06
2026-07-02T11:26:14+02:00,1782984374,5094,manual,256,2917619888,3101781612,25501.80,54.10,1,20080,470188,0.00,0.00,4215003640,1422471904,66.25,256.13,256.05,255.24
2026-07-02T11:43:29+02:00,1782985409,6129,periodic,256,3190585024,3374570656,25515.70,54.40,1,20080,470188,0.00,0.00,4215003640,1149030656,72.74,256.28,256.17,255.89
2026-07-02T12:03:29+02:00,1782986609,7329,periodic,256,3480145976,3663970640,25524.70,76.70,1,20080,470188,0.00,0.00,4215003640,859064428,79.62,256.28,256.18,256.07
2026-07-02T12:04:47+02:00,1782986687,7407,heartbeat,256,3500507264,3684321344,25525.40,76.70,1,20080,470188,0.00,0.00,4215003640,838613864,80.10,256.22,256.19,256.08
2026-07-02T12:10:38+02:00,1782987038,7758,heartbeat,256,3558432116,3742210232,25526.60,76.70,1,20080,470188,0.00,0.00,4215003640,780580448,81.48,256.22,256.19,256.11
2026-07-02T12:12:24+02:00,,,,256,3596308684,3780075488,25527.7,76.7,,,,,,,,82.0,,,
2026-07-02T12:13:22+02:00,1782987202,7922,heartbeat,256,3616070840,3799831928,25528.30,76.70,1,20080,470188,0.00,0.00,4215003640,722729272,82.85,258.19,257.06,256.44
2026-07-02T12:15:44+02:00,1782987344,8064,heartbeat,256,3650426124,3834166684,25528.40,76.80,1,20080,470188,0.00,0.00,4215003640,688388884,83.67,256.32,256.69,256.38
2026-07-02T12:20:43+02:00,1782987643,8363,heartbeat,256,3721613688,3905311896,25529.90,76.80,1,20080,470188,0.00,0.00,4215003640,617036660,85.36,256.36,256.42,256.34
2026-07-02T12:23:30+02:00,1782987810,8530,periodic,256,3735199872,3918892044,25529.50,76.80,1,20080,470188,0.00,0.00,4215003640,603530324,85.68,256.11,256.27,256.29
2026-07-02T12:25:43+02:00,1782987943,8663,heartbeat,256,3746245056,3929932656,25530.90,76.80,1,20080,470188,0.00,0.00,4215003640,592374560,85.95,256.10,256.21,256.26
2026-07-02T12:30:47+02:00,1782988247,8967,heartbeat,256,3817870884,4001538472,25533.80,79.80,1,20080,470188,0.00,0.00,4215003640,520696036,87.65,256.20,256.19,256.24
2026-07-02T12:35:44+02:00,1782988544,9264,heartbeat,256,3873671224,4057322624,25533.30,79.80,1,20080,470188,0.00,0.00,4215003640,464722560,88.97,256.17,256.16,256.20
2026-07-02T12:40:41+02:00,1782988841,9561,heartbeat,256,3916516792,4100151488,25535.70,79.80,1,20080,470188,0.00,0.00,4215003640,421858844,89.99,256.13,256.10,256.16
2026-07-02T12:43:31+02:00,1782989011,9731,periodic,256,3985954560,4169575856,25536.70,79.90,1,20080,470188,0.00,0.00,4215003640,352425976,91.64,256.00,256.05,256.12
2026-07-02T12:45:45+02:00,1782989145,9865,heartbeat,256,4018211872,4201820400,25536.30,79.90,1,20080,470188,0.00,0.00,4215003640,319889040,92.41,256.08,256.04,256.10
2026-07-02T12:50:46+02:00,1782989446,10166,heartbeat,0,0,0,0.00,0.00,0,0,0,0.00,0.00,4215003640,4190260100,0.59,50.41,186.26,231.32
2026-07-02T13:03:31+02:00,1782990211,10931,completed,0,0,0,0.00,0.00,0,0,0,0.00,0.00,4215003640,4190392372,0.58,0.00,14.37,101.45
