# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777656897 0.116667 3 0 150 109 28 33 48 19 13 12 13 0 12 26 18 18 0
1777656897 0.116667 3 0 300 161 50 57 54 44 13 12 51 0 12 0 37 37 0
1777656897 0.116667 3 0 450 243 131 58 54 107 96 95 77 15 95 33 44 43 1
1777656897 0.133333 3 0 600 315 199 62 54 123 10 9 130 16 9 52 52 50 2
1777656897 0.133333 3 0 750 368 246 68 54 144 58 57 166 29 57 37 61 59 2
1777656897 0.133333 3 0 900 457 304 85 68 217 277 276 176 0 276 13 77 75 2
1777656897 0.133333 3 0 1050 536 347 108 81 208 127 126 189 36 126 67 83 81 2
1777656897 0.133333 3 0 1200 616 373 135 108 201 36 35 185 2 35 24 92 90 2
1777656897 0.133333 3 0 1350 699 421 146 132 222 71 70 193 26 70 74 98 96 2
1777656897 0.133333 3 0 1500 735 449 154 132 240 52 51 239 15 51 42 107 105 2
1777656897 0.133333 3 0 1650 797 472 169 156 262 104 103 265 22 103 39 116 114 2
1777656897 0.133333 3 0 1800 859 510 181 168 272 11 10 284 17 10 48 125 123 2
1777656897 0.133333 3 0 1950 943 562 189 192 323 17 16 307 79 16 79 134 132 2
1777656897 0.133333 3 0 2100 1001 616 193 192 388 228 227 339 40 227 91 142 140 2
1777656897 0.133333 3 0 2250 1080 679 197 204 389 78 77 363 130 77 132 149 146 3
1777656897 0.133333 3 0 2400 1106 701 201 204 409 69 68 433 9 68 9 158 155 3
1777656897 0.133333 3 0 2550 1183 762 205 216 456 223 222 436 18 222 40 167 163 4
1777656897 0.133333 3 0 2700 1250 829 205 216 461 73 72 468 66 72 124 173 169 4
1777656897 0.133333 3 0 2850 1265 844 205 216 475 9 8 532 0 8 0 184 180 4
1777656897 0.133333 3 0 3000 1325 888 209 228 553 294 293 563 9 293 52 192 188 4
1777656897 0.133333 3 0 3150 1414 957 217 240 568 144 143 560 53 143 86 199 195 4
1777656897 0.150000 3 0 3300 1480 1019 221 240 611 85 84 585 0 84 0 209 204 5
1777656897 0.150000 3 0 3450 1538 1077 221 240 768 844 843 613 24 843 50 217 212 5
1777656897 0.150000 3 0 3600 1618 1157 221 240 770 694 693 626 72 693 93 224 218 6
1777656897 0.150000 3 0 3750 1651 1190 221 240 773 544 543 692 93 543 106 232 226 6
1777656897 0.150000 3 0 3900 1718 1241 225 252 771 394 393 718 117 393 127 240 234 6
1777656897 0.150000 3 0 4050 1758 1277 229 252 769 244 243 758 147 243 177 247 241 6
1777656897 0.150000 3 0 4200 1798 1309 237 252 767 94 93 805 173 93 195 254 248 6
1777656897 0.150000 3 0 4350 1856 1367 237 252 810 144 143 819 15 143 77 260 254 6
1777656897 0.150000 3 0 4500 1939 1430 245 264 812 37 36 825 36 36 81 269 263 6
1777656897 0.150000 3 0 4650 1981 1472 245 264 864 20 19 865 0 19 0 281 275 6
1777656897 0.150000 3 0 4800 2028 1515 249 264 912 264 263 912 20 263 65 287 281 6
1777656897 0.150000 3 0 4950 2084 1571 249 264 940 114 113 944 51 113 85 294 288 6
1777656897 0.150000 3 0 5100 2141 1624 253 264 966 33 32 956 33 32 67 302 296 6
1777656897 0.150000 3 0 5250 2196 1675 257 264 1000 66 65 977 54 65 78 310 304 6
1777656897 0.150000 3 0 5400 2232 1707 261 264 1051 197 196 1029 2 196 13 319 313 6
1777656897 0.150000 3 0 5550 2250 1725 261 264 1051 47 46 1095 16 46 42 324 318 6
1777656897 0.166667 3 0 5700 2280 1755 261 264 1148 477 476 1152 16 476 30 335 329 6
1777656897 0.166667 3 0 5850 2345 1820 261 264 1157 327 326 1173 75 326 100 342 336 6
1777656897 0.166667 3 0 6000 2402 1871 267 264 1167 177 176 1199 116 176 143 349 343 6
1777656897 0.166667 3 0 6150 2449 1897 276 276 1170 27 26 1246 132 26 154 356 350 6
1777656897 0.166667 3 0 6300 2497 1945 276 276 1211 11 10 1292 44 10 47 366 360 6
1777656897 0.166667 3 0 6450 2536 1984 276 276 1328 408 407 1327 46 407 48 374 368 6
1777656897 0.166667 3 0 6600 2598 2046 276 276 1340 258 257 1350 92 257 121 382 375 7
1777656897 0.166667 3 0 6750 2634 2082 276 276 1341 108 107 1398 127 107 127 389 382 7
1777656897 0.166667 3 0 6900 2682 2130 276 276 1379 121 120 1421 15 120 43 397 390 7
1777656897 0.166667 3 0 7050 2722 2166 280 276 1459 392 391 1466 2 391 39 406 399 7
1777656897 0.166667 3 0 7200 2774 2218 280 276 1462 242 241 1489 57 241 80 413 406 7
1777656897 0.166667 3 0 7350 2846 2290 280 276 1478 92 91 1490 107 91 143 421 413 8
1777656897 0.166667 3 0 7500 2877 2321 280 276 1506 63 62 1538 9 62 31 429 421 8
1777656897 0.166667 3 0 7650 2910 2354 280 276 1536 1 0 1584 26 0 32 438 430 8
1777656897 0.166667 3 0 7800 2983 2423 284 276 1604 221 220 1614 30 220 62 447 439 8
1777656897 0.183333 3 0 7950 3030 2466 288 276 1614 71 70 1657 59 70 95 454 446 8
1777656897 0.183333 3 0 8100 3074 2506 292 276 1665 112 111 1694 7 111 13 465 457 8
1777656897 0.183333 3 0 8250 3106 2522 296 288 1686 90 89 1758 5 89 13 472 464 8
1777656897 0.183333 3 0 8400 3135 2547 300 288 1702 1 0 1817 0 0 0 485 477 8
1777656897 0.183333 3 0 8550 3201 2597 316 288 1744 13 12 1839 1 12 2 505 497 8
1777656897 0.183333 3 0 8700 3255 2651 316 288 1850 470 469 1863 44 469 73 512 504 8
1777656897 0.183333 3 0 8850 3298 2694 316 288 1858 320 319 1894 83 319 96 521 513 8
1777656897 0.200000 3 0 9000 3355 2735 320 300 1866 170 169 1928 125 169 144 528 520 8
1777656897 0.200000 3 0 9150 3409 2769 328 312 1873 20 19 1966 159 19 195 535 527 8
1777656897 0.200000 3 0 9300 3449 2809 328 312 1914 33 32 2008 49 32 53 546 538 8
1777656897 0.200000 3 0 9450 3497 2857 328 312 2074 664 663 2039 22 663 44 553 545 8
1777656897 0.200000 3 0 9600 3563 2899 337 327 2070 514 513 2059 62 513 73 561 553 8
1777656897 0.200000 3 0 9750 3625 2949 340 336 2068 364 363 2087 89 363 97 568 560 8
1777656897 0.200000 3 0 9900 3689 3013 340 336 2077 214 213 2113 118 213 153 576 567 9
1777656897 0.200000 3 0 10050 3738 3046 344 348 2078 64 63 2149 144 63 164 583 574 9
1777656897 0.200000 3 0 10200 3768 3076 344 348 2125 71 70 2195 20 70 28 591 582 9
1777656897 0.200000 3 0 10350 3820 3128 344 348 2211 403 402 2217 15 402 26 600 591 9
1777656897 0.200000 3 0 10500 3886 3194 344 348 2225 253 252 2222 69 252 99 606 597 9
1777656897 0.200000 3 0 10650 3920 3224 348 348 2226 103 102 2274 102 102 108 614 605 9
1777656897 0.200000 3 0 10800 3965 3269 348 348 2253 71 70 2305 13 70 16 621 611 10
1777656897 0.200000 3 0 10950 4002 3302 352 348 2392 824 823 2346 6 823 13 630 620 10
1777656897 0.200000 3 0 11100 4071 3355 356 360 2390 674 673 2371 44 673 61 637 627 10
1777656897 0.200000 3 0 11250 4122 3406 356 360 2386 524 523 2383 78 523 108 644 634 10
1777656897 0.200000 3 0 11400 4171 3455 356 360 2387 374 373 2419 122 373 171 651 641 10
1777656897 0.200000 3 0 11550 4223 3507 356 360 2392 224 223 2445 144 223 152 660 650 10
1777656897 0.200000 3 0 11700 4285 3553 360 372 2400 74 73 2484 182 73 206 666 656 10
1777656897 0.216667 3 0 11850 4359 3627 360 372 2453 124 123 2477 33 123 83 674 664 10
1777656897 0.216667 3 0 12000 4397 3665 360 372 2455 9 8 2514 37 8 37 682 672 10
1777656897 0.216667 3 0 12150 4462 3730 360 372 2511 106 105 2523 46 105 65 690 679 11
1777656897 0.216667 3 0 12300 4508 3772 364 372 2537 29 28 2558 13 28 28 696 685 11
1777656897 0.216667 3 0 12450 4562 3798 380 384 2611 390 389 2592 5 389 7 709 698 11
1777656897 0.216667 3 0 12600 4599 3835 380 384 2617 240 239 2640 33 239 66 715 704 11
1777656897 0.216667 3 0 12750 4629 3861 384 384 2620 90 89 2687 39 89 39 722 711 11
1777656897 0.216667 3 0 12900 4683 3895 392 396 2750 550 549 2738 0 549 4 733 722 11
1777656897 0.216667 3 0 13050 4729 3937 396 396 2756 400 399 2763 25 399 36 740 729 11
1777656897 0.216667 3 0 13200 4783 3991 396 396 2765 250 249 2776 73 249 106 747 736 11
1777656897 0.216667 3 0 13350 4833 4041 396 396 2770 100 99 2803 98 99 126 755 744 11
1777656897 0.216667 3 0 13500 4859 4067 396 396 2803 59 58 2866 20 58 38 763 752 11
1777656897 0.233333 3 0 13650 4901 4109 396 396 2887 296 295 2913 18 295 39 772 761 11
1777656897 0.233333 3 0 13800 4979 4187 396 396 2907 146 145 2926 78 145 101 781 768 13
1777656897 0.233333 3 0 13950 4999 4207 396 396 2933 81 80 2979 9 80 13 791 778 13
1777656897 0.233333 3 0 14100 5049 4253 400 396 3033 477 476 2997 16 476 25 800 787 13
1777656897 0.233333 3 0 14250 5131 4335 400 396 3058 327 326 3015 74 326 82 807 794 13
1777656897 0.233333 3 0 14400 5162 4362 404 396 3061 177 176 3054 108 176 131 814 801 13
1777656897 0.233333 3 0 14550 5186 4382 408 396 3062 27 26 3117 121 26 122 822 809 13
1777656897 0.233333 3 0 14700 5211 4407 408 396 3102 14 13 3177 15 13 28 830 817 13
1777656897 0.250000 3 0 14850 5272 4468 408 396 3287 847 846 3198 43 846 56 839 826 13
1777656897 0.250000 3 0 15000 5306 4502 408 396 3287 697 696 3251 68 696 72 846 833 13
1777656897 0.250000 3 0 15150 5355 4547 412 396 3283 547 546 3275 115 546 161 854 841 13
1777656897 0.250000 3 0 15300 5397 4589 412 396 3290 397 396 3323 159 396 174 862 849 13
1777656897 0.250000 3 0 15450 5440 4632 412 396 3289 247 246 3361 184 246 189 869 856 13
1777656897 0.250000 3 0 15600 5475 4663 416 396 3337 297 296 3404 3 296 18 877 864 13
1777656897 0.250000 3 0 15750 5524 4712 416 396 3342 160 159 3442 0 159 20 885 872 13
1777656897 0.250000 3 0 15900 5575 4763 416 396 3347 10 9 3481 47 9 60 893 880 13
1777656897 0.250000 3 0 16050 5622 4810 416 396 3454 407 406 3522 38 406 58 901 888 13
1777656897 0.250000 3 0 16200 5682 4870 416 396 3461 257 256 3541 93 256 143 908 895 13
1777656897 0.250000 3 0 16350 5711 4899 416 396 3461 107 106 3588 101 106 101 917 904 13
1777656897 0.250000 3 0 16500 5740 4928 416 396 3499 77 76 3651 1 76 12 923 910 13
1777656897 0.250000 3 0 16650 5786 4974 416 396 3582 371 370 3675 28 370 46 933 920 13
1777656897 0.250000 3 0 16800 5824 5012 416 396 3586 221 220 3715 42 220 65 940 927 13
1777656897 0.250000 3 0 16950 5874 5062 416 396 3592 71 70 3737 81 70 90 947 934 13
1777656897 0.250000 3 0 17100 5895 5083 416 396 3622 19 18 3789 7 18 18 956 943 13
1777656897 0.266667 3 0 17250 5972 5144 420 408 3737 536 535 3824 50 535 67 965 952 13
1777656897 0.266667 3 0 17400 6048 5204 424 420 3742 386 385 3824 109 385 136 972 959 13
1777656897 0.266667 3 0 17550 6129 5269 428 432 3754 236 235 3824 153 235 193 979 966 13
1777656897 0.266667 3 0 17700 6181 5321 428 432 3762 86 85 3844 195 85 218 987 974 13
1777656897 0.266667 3 0 17850 6210 5350 428 432 3817 135 134 3898 6 134 12 996 983 13
1777656897 0.266667 3 0 18000 6276 5400 432 444 3925 623 622 3912 5 622 29 1005 992 13
1777656897 0.266667 3 0 18150 6338 5462 432 444 3931 473 472 3912 47 472 87 1012 998 14
1777656897 0.266667 3 0 18300 6378 5502 432 444 3930 323 322 3955 88 322 135 1019 1005 14
1777656897 0.266667 3 0 18450 6399 5523 432 444 3931 173 172 4023 95 172 100 1027 1013 14
1777656897 0.266667 3 0 18600 6439 5547 436 456 3930 23 22 4064 112 22 134 1034 1020 14
1777656897 0.283333 3 0 18750 6480 5588 436 456 4072 650 649 4103 1 649 18 1045 1031 14
1777656897 0.283333 3 0 18900 6562 5666 440 456 4091 500 499 4108 79 499 126 1051 1037 14
1777656897 0.283333 3 0 19050 6615 5719 440 456 4102 350 349 4132 118 349 145 1059 1045 14
1777656897 0.283333 3 0 19200 6683 5787 440 456 4114 200 199 4143 163 199 177 1067 1052 15
1777656897 0.283333 3 0 19350 6719 5823 440 456 4122 50 49 4196 195 49 214 1074 1059 15
1777656897 0.283333 3 0 19500 6786 5874 444 468 4168 100 99 4223 37 99 67 1082 1067 15
1777656897 0.283333 3 0 19650 6835 5923 444 468 4179 40 39 4262 4 39 13 1089 1073 16
1777656897 0.283333 3 0 19800 6887 5959 448 480 4294 474 473 4290 27 473 64 1098 1082 16
1777656897 0.283333 3 0 19950 6939 6011 448 480 4293 324 323 4310 65 323 84 1107 1091 16
1777656897 0.283333 3 0 20100 6983 6055 448 480 4302 174 173 4348 109 173 130 1114 1098 16
1777656897 0.283333 3 0 20250 7044 6116 448 480 4316 24 23 4371 149 23 178 1122 1106 16
1777656897 0.283333 3 0 20400 7054 6126 448 480 4365 24 23 4442 8 23 16 1129 1113 16
1777656897 0.283333 3 0 20550 7085 6157 448 480 4411 103 102 4500 12 102 23 1139 1123 16
1777656897 0.300000 3 0 20700 7131 6203 448 480 4488 428 427 4528 0 427 17 1147 1131 16
1777656897 0.300000 3 0 20850 7163 6235 448 480 4492 278 277 4578 17 277 30 1154 1138 16
1777656897 0.300000 3 0 21000 7209 6281 448 480 4502 128 127 4618 62 127 79 1162 1146 16
1777656897 0.300000 3 0 21150 7247 6319 448 480 4526 69 68 4643 13 68 21 1168 1152 16
1777656897 0.316667 3 0 21300 7289 6361 448 480 4905 1733 1732 4661 21 1732 38 1177 1161 16
1777656897 0.316667 3 0 21450 7362 6434 448 480 4905 1583 1582 4673 73 1582 120 1183 1167 16
1777656897 0.316667 3 0 21600 7425 6497 448 480 4902 1433 1432 4684 127 1432 139 1191 1175 16
1777656897 0.316667 3 0 21750 7479 6551 448 480 4902 1283 1282 4716 174 1282 199 1198 1182 16
1777656897 0.316667 3 0 21900 7510 6582 448 480 4900 1133 1132 4767 198 1132 233 1204 1188 16
1777656897 0.316667 3 0 22050 7546 6618 448 480 4943 1183 1182 4809 24 1182 38 1212 1196 16
1777656897 0.316667 3 0 22200 7572 6640 452 480 4938 1033 1032 4863 38 1032 51 1218 1202 16
1777656897 0.316667 3 0 22350 7620 6680 460 480 4945 921 920 4917 13 920 24 1226 1210 16
1777656897 0.333333 3 0 22500 7673 6733 460 480 4942 771 770 4936 59 770 82 1233 1217 16
1777656897 0.333333 3 0 22650 7737 6797 460 480 4944 621 620 4954 112 620 147 1240 1223 17
1777656897 0.333333 3 0 22800 7779 6835 464 480 4953 471 470 5001 134 470 148 1247 1229 18
1777656897 0.333333 3 0 22950 7827 6883 464 480 4953 321 320 5015 180 320 200 1254 1236 18
1777656897 0.333333 3 0 23100 7887 6943 464 480 4993 371 370 5023 26 370 55 1262 1244 18
1777656897 0.333333 3 0 23250 7949 7005 464 480 5069 528 527 5043 8 527 56 1269 1251 18
1777656897 0.333333 3 0 23400 8011 7067 464 480 5066 378 377 5061 64 377 113 1275 1257 18
1777656897 0.333333 3 0 23550 8056 7108 468 480 5065 228 227 5099 112 227 136 1283 1265 18
1777656897 0.333333 3 0 23700 8109 7145 472 492 5066 78 77 5132 146 77 172 1291 1273 18
1777656897 0.333333 3 0 23850 8166 7202 472 492 5094 95 94 5152 18 94 27 1300 1282 18
1777656897 0.333333 3 0 24000 8202 7238 472 492 5105 3 2 5196 0 2 0 1310 1292 18
1777656897 0.333333 3 0 24150 8257 7289 476 492 5207 828 827 5203 14 827 74 1316 1298 18
1777656897 0.350000 3 0 24300 8316 7348 476 492 5222 678 677 5233 27 677 35 1324 1305 19
1777656897 0.350000 3 0 24450 8361 7393 476 492 5235 528 527 5264 31 527 63 1330 1311 19
1777656897 0.350000 3 0 24600 8414 7443 479 492 5260 378 377 5299 79 377 115 1338 1319 19
1777656897 0.350000 3 0 24750 8453 7481 480 492 5269 228 227 5335 93 227 115 1345 1326 19
1777656897 0.350000 3 0 24900 8515 7527 484 504 5278 78 77 5358 125 77 140 1352 1333 19
1777656897 0.350000 3 0 25050 8566 7578 484 504 5316 61 60 5385 40 60 40 1361 1342 19
1777656897 0.350000 3 0 25200 8618 7630 484 504 5428 291 290 5410 29 290 69 1367 1348 19
1777656897 0.350000 3 0 25350 8660 7672 484 504 5437 141 140 5435 58 140 90 1374 1355 19
1777656897 0.350000 3 0 25500 8694 7706 484 504 5468 78 77 5481 0 77 0 1383 1364 19
1777656897 0.350000 3 0 25650 8716 7724 488 504 5510 222 221 5547 7 221 17 1388 1369 19
1777656897 0.350000 3 0 25800 8753 7761 488 504 5520 72 71 5599 37 71 49 1395 1376 19
1777656897 0.350000 3 0 25950 8798 7802 492 504 5548 11 10 5644 0 10 0 1404 1385 19
